LOC;YEAR;TRIAL;SEQ;PLOT;DESIGN;GENERATION;DNAID;REP;BLOC;FL;PH;YLD;ZN;Experimental_Group
PAL;2017;PA17B;1;GSCT17B0001;PCT27:0:0:3>1806-M;S02;1806;1;A;92;115.6;810.1302326;16.5;PCT27
PAL;2017;PA17B;2;GSCT17B0002;PCT27:0:0:3>1391-M;S02;1391;1;A;82;132.8;564.1142326;14.6;PCT27
PAL;2017;PA17B;3;GSCT17B0003;PCT27:0:0:3>1547-M;S02;1547;1;A;80;113;632.3424767;13.6;PCT27
PAL;2017;PA17B;4;GSCT17B0004;PCT27:0:0:3>1191-M;S02;1191;1;A;82;115;682.6026977;13.6;PCT27
PAL;2017;PA17B;5;GSCT17B0005;PCT27:0:0:3>1128-M;S02;1128;1;A;87;116.4;721.5190349;12.7;TC
PAL;2017;PA17B;6;GSCT17B0006;PCT27:0:0:3>1055-M;S02;1055;1;A;87;135.4;609.1713372;13.3;TC
PAL;2017;PA17B;7;GSCT17B0007;PCT27:0:0:3>1672-M;S02;1672;1;A;83;133.4;591.5687791;14.5;PCT27
PAL;2017;PA17B;8;GSCT17B0008;PCT27:0:0:3>2035-M;S02;2035;1;A;82;114.6;536.2172442;16.2;PCT27
PAL;2017;PA17B;9;GSCT17B0009;PCT27:0:0:3>1378-M;S02;1378;1;A;84;123;786.4753488;15.2;PCT27
PAL;2017;PA17B;10;GSCT17B0010;PCT27:0:0:3>2014-M;S02;2014;1;A;87;122.6;756.311907;15.2;PCT27
PAL;2017;PA17B;11;GSCT17B0011;PCT27:0:0:3>2356-M;S02;2356;1;A;87;110.6;696.4339535;16.4;PCT27
PAL;2017;PA17B;12;GSCT17B0012;PCT27:0:0:3>2186-M;S02;2186;1;A;85;110.2;822.9739535;12.2;PCT27
PAL;2017;PA17B;13;GSCT17B0013;L23;LINE;L23;1;A;75;103.6;286.5423721;12.6;SC
PAL;2017;PA17B;14;GSCT17B0014;PCT27:0:0:3>1532-M;S02;1532;1;A;84;117;756.1530814;14.4;PCT27
PAL;2017;PA17B;15;GSCT17B0015;PCT27:0:0:3>1230-M;S02;1230;1;A;87;108.4;688.3352326;12.3;PCT27
