Genotype,FL,PH,YLD,ZN
1006,84.3807277452662,108.791580838676,342.592012667437,20.5922598373868
1008,88.8021769654018,116.367672564319,333.894610236436,21.4067204235224
1009,88.95023233815,111.760905811473,370.091871348866,18.4800163391442
1012,91.7726688775496,118.142535598661,330.974021455287,18.2652458996408
1022,90.4140826584764,108.449015650181,361.168968359887,18.5588342696213
1023,86.5745193821263,121.916216110167,372.25562470635,18.8885997684647
1031,91.1102336532338,114.498061187326,337.074283466026,18.2932722181784
1033,95.2778914229376,116.964267504658,272.853709094765,18.982613757991
1037,87.7117919823052,116.296154475076,348.905722969852,18.3716688222304
1039,89.0505187386319,119.512626848443,272.678986334548,21.0190877608684
1044,90.394213028303,123.813234104994,454.107252173608,18.4749222609497
1045,81.6604176595598,117.251584093599,434.482955722763,20.5893191321076
1046,86.6667887402714,115.221440521298,375.194025380409,20.0039850549233
1050,93.1132788220181,108.965586826189,259.119269369359,19.7737945003081
1052,78.4984809339557,110.336459079396,297.289055223794,18.8448634517267
1055,87.1975059717653,121.320695636272,359.325697944156,18.0343445580592
1056,91.9378358027275,124.669618989176,340.467086540014,21.6677099020929
1067,81.3101286381028,123.28814295075,309.363181099626,18.89243057007
1070,82.7024027342267,111.527146152686,382.608698683622,20.9766952556292
1076,88.3455802670107,124.700251483519,352.778180311964,19.8538886221711
1082,89.085425825219,126.028646512191,318.753215413247,16.38462239837
1084,88.5380020170353,112.706648781467,330.439428431329,18.8140604173822
1086,78.0845522164421,116.233676176234,387.363764544854,18.5222586422273
1087,84.8437538504026,118.589365229489,368.822150802276,23.9910237149411
1091,82.3336536539298,120.280682738053,401.536343561418,18.7094313703755
1093,87.5348066389856,118.575702537453,336.658028768055,16.5169171060634
1096,89.6776063777085,118.841205765633,307.310175721149,18.2169028875711
1099,81.5843931670944,115.267889253757,409.282525883897,17.9281011402342
1104,85.0457197696311,111.011863583317,366.374015108259,19.8068560526255
1106,87.7804737654156,107.251191748946,347.309424806443,18.1463392044548
1109,84.8374167000017,106.723511254844,354.919016708854,19.6286144134203
1110,80.5679627944172,109.079867839831,340.566985892325,19.4792683868303
1115,86.1442536788959,120.752608392667,368.712565874125,17.3631488032772
1117,85.0529598918247,111.634369849142,379.792794086557,20.7001689046431
1118,89.1769275475187,111.901402784576,362.114581677453,21.5418450081259
1120,90.1942333702328,116.138102977636,268.592189065983,18.1886307731695
1123,80.1073141248176,114.337019530931,481.339250464009,16.6783819738678
1125,86.4601387208488,115.354272027431,378.719667676474,19.0698674195303
1128,88.3412201577906,109.880071617034,372.492167109359,19.0084715195273
1131,84.5176056566548,123.718604945035,475.206656565581,18.3494825164415
1132,82.9259087380199,111.75238761685,309.798949605852,20.3228749844235
1134,92.3308559260058,121.291391633461,283.25600699018,18.9643870534102
1137,88.9578019799428,114.680159197626,372.02922484902,19.6410763877877
1138,85.1407744413287,109.571602512504,336.336580273372,16.2536203294025
1144,90.5738913179206,111.501005024587,275.606261660833,21.8573502793245
1145,90.8167660202868,113.124298737044,388.557305008976,22.7014858227521
1148,89.390959794015,111.388097340566,359.766709813888,20.2223975230755
1150,88.3512386503572,116.397341228789,309.229279967431,15.0108734537388
1152,87.2708660073292,118.306609909747,327.185364129098,15.3387431032699
1155,87.9485612116591,112.762283713225,279.931397268896,19.3463420799218
1164,91.0442740258729,107.316038801181,340.065885103637,19.8432154317332
1166,90.9944097456498,105.459935062138,378.67893832582,17.2322755565321
1167,88.8603955178973,111.039954215585,354.123359879168,19.1994859118994
1171,90.4116486896974,121.278837986513,318.013910578938,19.6162757580318
1173,88.9197591791716,112.988921778125,338.178090490834,18.2552920452149
1174,90.8460347401046,118.433505304751,287.395986465677,20.4078730292832
1175,89.4267392925104,105.606169122665,339.688344877283,19.0027381190966
1183,83.9592655023772,114.03652174272,363.30786099098,18.5282156144394
1184,88.9926003216985,110.665434483323,357.237640399306,18.4280912270289
1190,88.0794291720821,107.927555716665,317.612758124352,16.6002516176736
1191,81.6773601701109,110.613014847459,328.160417504133,17.3818752780713
1199,89.2788554425335,111.706895638174,409.218351564179,17.0816308939932
1200,88.0061811708254,106.737317716301,371.462952842617,16.3351317713675
1202,88.4702388716261,107.009579946326,358.292740264418,20.7922996123651
1203,87.3553674440765,120.196613600967,398.152148087075,19.8590776955189
1204,87.2602629450121,111.556666276604,355.949747994762,17.3676212111042
1206,88.1632998754541,107.099704541065,278.027960803487,22.0468085656207
1208,92.6683167272535,115.36724230078,332.432624542172,18.365804890281
1210,90.0819400334611,114.011124837451,400.142559367917,20.7501784027133
1213,87.5165898752217,106.608816736479,361.268961873697,17.7864526274255
1214,84.217188090449,108.4909275562,429.403498994163,18.4204793705645
1217,84.5784246175941,114.488839929204,335.102732761467,17.3764048360662
1218,90.1875500133203,118.345140842059,407.811701600067,19.9605525513248
1228,90.1888638373315,106.846495346385,325.815754697542,18.5118515114924
1230,89.4381626508341,111.227469773477,377.778279569367,17.1679665372369
1232,84.0840692466481,112.104342109225,418.721200198658,19.0228246088022
1234,91.4926191101628,114.213397862187,349.299732578377,16.9709559940982
1240,82.872012988121,114.321485074123,365.47655876032,19.5316011005426
1246,89.0573001688961,109.380346613632,374.254226791653,16.8622894565181
1248,88.2317701700086,112.888984943964,400.581056133092,19.2073675530891
1249,83.2788431400471,109.733736210709,433.674990424191,17.5754377060771
1250,85.205988741147,113.052531551474,409.261925991873,16.9752967191682
1258,85.349807284943,119.051887418755,349.844349768335,20.8944366024616
1263,92.8015440482733,124.990847630993,347.046714792596,21.092860414334
1270,88.2636308598939,119.061060616823,380.894633586829,20.6858353049959
1273,89.2583346668887,117.75541229702,401.116020702221,19.9998343577452
1275,89.0007882214086,120.489298354146,329.174758607063,20.6551395211145
1282,83.3509772484154,114.385466139249,382.234977500724,19.3460506006181
1289,88.4012224250643,113.933444983928,318.06271571259,17.3285750149718
1290,85.7888204198434,114.218661628303,407.222560209637,20.9826556276243
